Part1,设备名称,特征尺寸（kg\mm\m2）,人数,准备时间（min）,速率（kg/min、mm/min、m2/min）,设备费率（元/h）,人工费率（元/h）
A,A-1,100.0,1,120,101.0,2000.0,250
B,,100.0,1,120,102.0,,250
C,,100.0,1,100,103.0,,250
D,D-1,100.0,1,100,104.0,2004.0,250
E,,100.0,1,100,105.0,,250
F,,100.0,1,100,106.0,,250
G,G-1,100.0,1,100,107.0,2009.0,250
H,,100.0,1,100,108.0,,250
I,,100.0,1,100,109.0,,250
J,J-1,100.0,1,100,110.0,2015.0,250
K,,100.0,1,100,111.0,,250
L,,100.0,1,100,112.0,,250
M,M-1,100.0,1,100,113.0,2021.0,250
N,,100.0,1,100,114.0,,250
O,O-1,100.0,1,100,115.0,2025.0,250
P,,100.0,1,100,116.0,,250
