Part1,设备名称,特征尺寸（kg\mm\m2）,人数,准备时间（min）,速率（kg/min、mm/min、m2/min）,设备费率（元/h）,人工费率（元/h）,设备加工时间（min）,人工工时（min）,工时费（元）
A,A-1,100.0,1,120,101.0,2000.0,250,120.99,120.99,4537.129
B,,100.0,1,120,102.0,,250,120.98,120.98,504.085
C,,100.0,1,100,103.0,,250,100.971,100.971,420.712
D,D-1,100.0,1,100,104.0,2004.0,250,100.962,100.962,3792.788
E,,100.0,1,100,105.0,,250,100.952,100.952,420.635
F,,100.0,1,100,106.0,,250,100.943,100.943,420.597
G,G-1,100.0,1,100,107.0,2009.0,250,290.935,290.935,10953.687
H,,100.0,1,100,108.0,,250,100.926,100.926,420.525
I,,100.0,1,100,109.0,,250,100.917,100.917,420.489
J,J-1,100.0,1,100,110.0,2015.0,250,100.909,100.909,3809.318
K,,100.0,1,100,111.0,,250,100.901,100.901,420.42
L,,100.0,1,100,112.0,,250,100.893,100.893,420.387
M,M-1,100.0,1,100,113.0,2021.0,250,100.885,100.885,3818.496
N,,100.0,1,100,114.0,,250,100.877,100.877,420.322
O,O-1,100.0,1,100,115.0,2025.0,250,100.87,100.87,3824.638
P,,100.0,1,100,116.0,,250,100.862,100.862,420.259
